type,name,value,page
text,CN1,1111,0
text,CN2,1111,0
text,CN3,1111,0
text,CN4,1111,0
text,CN5,1111,0
text,CN6,1111,0
next,NextButton,,0
radio,R000002,4,1
next,NextButton,,1
radio,R000008,4,2
radio,R000015,4,2
radio,R000016,4,2
radio,R000013,4,2
radio,R000010,4,2
radio,R000011,4,2
next,NextButton,,2
radio,R000013,4,3
radio,R000018,4,3
radio,R000021,4,3
next,NextButton,,3
checkbox,R000499,1,4
checkbox,R000500,1,4
next,NextButton,,4
checkbox,R000069,2,5
next,NextButton,,5
radio,R000073,4,6
radio,R000072,4,6
next,NextButton,,6
textarea,S000077,good,7
next,NextButton,,7
radio,R000083,2,8
next,NextButton,,8
radio,R000086,2,9
next,NextButton,,9
text,S000057,kljsfklsjnvn292343290idskfjlakjjfjfdlksjafdlajfnvkn@gmail.com,10
text,S000064,kljsfklsjnvn292343290idskfjlakjjfjfdlksjafdlajfnvkn@gmail.com,10
next,NextButton,,10
